"ID";"year";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"HRADISTE";1947;51,9;144,16;7;3,81;49,95;116,41;136,64;119,73;22,27;63,58;53,66;64,37
"HRADISTE";1948;26,85;64,97;26,15;49,85;25,12;69,86;73,86;20,22;7,89;8,48;23,23;69,85
"HRADISTE";1949;82,31;94,83;43,43;40,35;88,49;114,38;149,36;135,23;29,09;46,96;57,01;79,87
"HRADISTE";1950;29,66;23,53;54,88;68,39;192,56;89,83;113,79;178,17;27,27;10,14;25,31;16,42
"HRADISTE";1951;50,76;29,36;25,41;35,83;43,98;27,05;122,66;65,64;94,71;69,7;56,1;47
"HRADISTE";1952;37,04;31,93;42,97;36,89;103,76;88,42;85,5;116,39;55,06;4,21;91,72;44,06
"HRADISTE";1953;60;83,05;72,25;44,38;80,19;118,53;47,07;86,03;106,2;65,64;65,78;44,6
"HRADISTE";1954;34,49;45,35;16,05;37,82;61,08;162,8;168,84;61,31;17,81;17,26;78,5;37,11
"HRADISTE";1955;56,51;17,76;17,82;88,01;137,71;104,06;198,78;59,46;83,87;60,28;15,72;34,83
"HRADISTE";1956;58,16;84,9;24,66;72,46;86,33;147,72;182,79;165,2;69,99;32,5;25,34;86,45
"HRADISTE";1957;30,15;33;51,64;85,27;42,17;126,94;107,95;132,03;22,1;143,45;39,17;55,97
"HRADISTE";1958;25,58;58,18;54,76;39,17;35,79;59,13;246,46;83,86;102,87;2,06;40,47;36,45
"HRADISTE";1959;76,46;82,19;39,43;70,75;68,33;165,68;96,59;118,96;74,31;76,68;48,93;58,18
"HRADISTE";1960;47,61;21,49;35,06;48,14;96,91;187,77;178,66;129,66;7,38;7,11;36,42;57,55
"HRADISTE";1961;13,79;36,52;35,04;77,45;112,95;97,73;83,96;110,75;48,8;56,46;47,57;58,68
"HRADISTE";1962;61,1;54,19;59,26;41,52;168,6;71,96;68,74;44,29;70,3;30,87;59,31;39,92
"HRADISTE";1963;53,45;26,43;55,57;62,27;94,3;158,32;46,1;117,03;57,4;27,31;65,34;12,5
